,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6337,598000,1,750.0,1,45737,84,2.39039952267644,13.304684934198283,2,1
6338,1249000,4,2250.0,4,33256,127,2.392494101619133,13.9108207377686,4,3
6339,649000,1,750.0,1,70600,77,2.3906544712890496,13.370784735902808,1,1
6340,549900,1,550.0,0,57039,104,2.3899783440502302,13.199324418540456,1,0
6342,399900,2,1100.0,1,26548,2,2.388493790852242,12.86099861326992,2,0
6343,839000,2,1300.0,1,52787,14,2.391459658356962,13.592367006650065,2,1
6348,499900,2,1300.0,1,32724,35,2.389412709431657,13.064734264567692,2,1
6350,649000,1,650.0,1,92580,63,2.390618625126211,13.36138027787483,1,0
6351,334900,1,250.0,0,33256,127,2.38797286305648,12.752747922189862,0,0
6352,539900,2,1300.0,1,30827,115,2.389901671736963,13.180632285528304,2,1
6354,549000,1,750.0,0,58915,73,2.3900530308108943,13.217673557208654,1,1
6355,399999,1,250.0,0,58915,73,2.389398944545083,13.06155123800757,0,1
6356,725000,2,650.0,0,37422,78,2.3910454711092077,13.475833190394113,2,0
6357,449900,1,250.0,0,70600,77,2.3891945565228325,13.01477816672439,0,0
6358,564900,2,1100.0,1,34168,26,2.390160815297014,13.244404003313354,2,0
6359,679000,3,1300.0,2,34168,26,2.3909304360502817,13.444446876573442,4,0
6361,399900,2,1100.0,1,33323,136,2.388432125250841,12.84792653170257,2,0
6362,459000,1,650.0,1,67757,42,2.389252968725087,13.028052697933088,2,0
6363,639000,2,850.0,1,45326,51,2.3905268716088885,13.337474757021274,2,0
6364,818800,2,850.0,1,44576,37,2.391468314594721,13.594863886848652,2,0
6365,549900,1,650.0,1,54438,17,2.3899783440502302,13.199324418540456,1,1
6366,608800,1,650.0,1,70623,82,2.3903535208819733,13.292949677979864,1,1
6367,499000,2,750.0,1,33256,127,2.38970484382879,13.133303317442664,2,0
6368,765000,2,850.0,1,70623,82,2.391237507474745,13.529160930746272,2,0
6369,489000,1,650.0,1,36359,53,2.3894671553391755,13.077366011473591,1,1
6371,399000,2,950.0,1,31692,126,2.388493790852242,12.86099861326992,2,0
